route_id,origin_lat,origin_lon,dest_lat,dest_lon,waypoint_count,route_length_km,avg_altitude_m,max_altitude_m,uav_model,max_range_km,max_speed_ms,payload_capacity_kg,battery_capacity_kwh,energy_consumption_kwh_per_km,delivery_time_min,energy_consumed_kwh,restricted_zone_crossings,constraint_violation,optimization_target_met,delivery_priority,airspace_density,weather_risk_score
RT-00024,30.362271,119.987295,30.121323,120.316752,10,41.51,157.5,178.1,EHang Falcon,46.9,10.0,9.0,3.11,0.184,360.2,7.63,2,0,0,普通,42.5,0.899
RT-00025,30.235948,119.982496,30.307934,120.023234,15,8.92,96.2,124.3,ZTO UAV,10.4,20.5,1.2,7.03,0.209,40.2,1.86,0,0,0,普通,28.0,0.352
RT-00026,30.320755,120.128509,30.153040,120.170009,14,19.09,169.1,232.5,SF UAS,23.9,12.8,18.5,8.37,0.123,132.2,2.34,3,0,0,加急,5.9,0.390
RT-00027,30.149267,120.047877,30.389670,120.124388,7,27.75,142.3,231.2,ZTO UAV,45.3,15.1,14.7,4.55,0.232,157.8,6.45,5,1,0,普通,43.5,0.501
RT-00028,30.135216,120.079450,30.177540,120.120639,15,6.16,71.7,114.8,Meituan UAV,41.4,17.9,21.8,5.80,0.281,30.4,1.73,5,1,0,紧急,15.5,0.358
RT-00029,30.038563,120.257423,30.076605,120.021504,13,23.12,84.4,181.7,EHang Falcon,19.6,20.7,5.5,1.40,0.141,100.0,3.26,3,0,0,紧急,45.1,0.201
RT-00030,30.186270,120.215524,30.116717,120.188647,5,8.16,184.2,231.6,SF UAS,35.9,12.3,26.0,3.15,0.265,60.3,2.16,4,1,0,紧急,31.4,0.423
RT-00031,30.043730,119.970656,30.382655,120.271654,3,47.56,190.8,224.3,Meituan UAV,22.5,20.1,26.8,9.04,0.125,206.2,5.92,2,0,0,医疗物资,5.9,0.082
RT-00032,30.368617,119.978651,30.001694,119.924863,7,41.17,192.9,265.1,Meituan UAV,38.5,23.0,3.2,8.30,0.209,156.8,8.60,5,1,0,加急,25.4,0.782
RT-00033,30.178275,120.134947,30.132052,119.993575,8,14.55,60.4,142.6,Meituan UAV,42.5,10.7,21.5,5.41,0.213,120.0,3.10,0,0,0,普通,6.4,0.437
RT-00034,30.086684,120.029873,30.153834,120.315301,8,28.48,55.0,74.8,SF UAS,39.6,18.3,15.1,3.20,0.258,133.8,7.36,1,0,0,紧急,23.6,0.651
RT-00035,30.403127,120.123062,30.278668,120.273970,5,20.05,54.7,149.2,Meituan UAV,19.4,14.2,2.3,3.16,0.075,121.6,1.50,2,0,0,紧急,42.5,0.460
RT-00036,30.279363,120.139743,30.166453,120.172818,10,12.97,143.9,200.0,SF UAS,22.1,22.8,13.8,8.46,0.255,51.1,3.30,5,1,0,医疗物资,21.7,0.551
RT-00037,30.060941,120.138554,30.054015,119.922571,13,20.82,126.9,174.1,DJI FlyCart 30,30.4,21.5,22.0,6.52,0.228,87.6,4.74,1,0,0,医疗物资,8.9,0.980
RT-00038,30.011205,120.267900,30.367852,120.148211,8,41.34,142.5,168.5,Meituan UAV,24.9,17.9,23.2,5.06,0.246,199.9,10.19,3,0,0,医疗物资,26.6,0.135
RT-00039,30.051888,120.011821,30.238672,120.071129,15,21.56,85.4,124.2,SF UAS,11.1,16.6,17.5,5.76,0.208,112.5,4.49,3,0,0,普通,34.6,0.865
RT-00040,30.338628,120.164196,30.432355,120.284086,3,15.54,76.0,153.7,DJI FlyCart 30,14.1,19.3,10.0,3.14,0.131,70.4,2.04,4,1,0,加急,38.8,0.567
RT-00041,30.435251,120.105999,30.211820,120.198964,7,26.43,177.5,217.0,ZTO UAV,38.2,20.2,12.2,3.06,0.211,114.3,5.57,2,0,0,加急,21.2,0.768
RT-00042,30.160825,120.230695,30.198399,120.115649,7,11.83,94.1,103.4,Meituan UAV,43.9,13.6,17.7,9.24,0.165,79.2,1.95,2,0,0,普通,5.8,0.923
RT-00043,30.385121,120.114762,30.104952,120.246368,2,33.66,68.3,156.9,EHang Falcon,47.7,22.0,15.1,4.57,0.230,135.1,7.76,2,0,0,紧急,34.8,0.332
RT-00044,30.414521,120.262117,30.070146,120.125992,9,40.51,167.9,246.2,SF UAS,35.9,22.2,13.7,4.67,0.130,159.4,5.26,3,0,0,普通,25.7,0.832
RT-00045,30.267262,119.979517,30.370689,120.203581,15,24.42,178.8,184.3,EHang Falcon,19.9,15.1,1.6,8.33,0.077,139.4,1.89,3,0,0,紧急,49.6,0.029
RT-00046,30.018487,120.342024,30.304157,120.267468,8,32.60,68.4,105.1,EHang Falcon,39.0,23.5,11.9,1.38,0.259,119.6,8.45,4,1,0,普通,8.3,0.930
RT-00047,30.035965,120.126032,30.098676,120.172604,15,8.30,127.7,131.6,EHang Falcon,21.1,22.6,4.9,4.28,0.068,32.8,0.57,3,0,0,普通,10.0,0.040
RT-00048,30.203268,119.916655,30.142955,120.096004,7,18.52,62.7,146.4,EHang Falcon,27.6,24.8,29.3,7.34,0.114,65.9,2.12,1,0,0,紧急,12.8,0.822
RT-00049,30.137153,119.971694,30.030063,120.323830,6,35.95,52.0,134.4,Meituan UAV,30.6,14.9,20.3,5.57,0.248,209.1,8.93,3,0,0,紧急,16.7,0.807
RT-00050,30.158568,120.028529,30.091780,119.909307,10,13.68,51.8,56.4,SF UAS,30.3,15.6,26.0,9.75,0.061,79.6,0.83,4,1,0,加急,29.4,0.654
RT-00051,30.242949,120.255121,30.003405,120.251575,3,26.67,52.7,117.0,SF UAS,18.3,19.0,13.9,4.38,0.131,125.0,3.51,1,0,0,紧急,31.2,0.430
RT-00052,30.074833,119.931183,30.013188,120.164459,9,23.50,64.6,139.5,EHang Falcon,33.0,23.9,27.6,5.12,0.151,87.7,3.55,0,0,0,加急,48.5,0.916
RT-00053,30.369786,120.047717,30.128142,120.074816,10,27.03,148.8,209.0,SF UAS,28.7,15.8,29.5,7.24,0.137,151.2,3.70,1,0,0,普通,40.1,0.323
RT-00054,30.168899,120.005389,30.372512,120.025701,14,22.75,86.0,136.0,EHang Falcon,40.9,10.4,14.4,6.81,0.106,191.0,2.42,4,1,0,医疗物资,24.8,0.783
RT-00055,30.148071,120.142134,30.189178,120.197978,4,7.06,190.5,227.0,ZTO UAV,27.7,18.1,17.8,2.85,0.167,34.9,1.18,1,0,0,医疗物资,22.7,0.060
RT-00056,30.188034,120.306337,30.091626,120.181665,15,16.10,55.3,108.0,EHang Falcon,44.9,22.9,3.7,4.55,0.178,64.1,2.87,1,0,0,普通,41.4,0.624
RT-00057,30.200444,120.281328,30.321639,120.181502,10,16.56,88.3,166.5,ZTO UAV,39.1,11.5,18.5,7.00,0.171,127.9,2.84,5,1,0,加急,37.1,0.165
RT-00058,30.379542,120.039100,30.442339,120.345598,8,30.24,198.3,264.7,ZTO UAV,23.4,24.7,1.6,6.98,0.298,105.5,9.01,1,0,0,紧急,45.5,0.734
RT-00059,30.412162,120.003996,30.055848,120.135237,2,41.62,73.0,158.6,DJI FlyCart 30,18.7,18.3,7.1,8.45,0.071,195.0,2.95,2,0,0,加急,9.1,0.097
RT-00060,30.259272,120.156543,30.425704,120.334747,13,25.23,195.1,255.7,Meituan UAV,15.8,20.1,24.8,7.17,0.120,111.9,3.03,0,0,0,普通,48.6,0.237
RT-00061,30.105295,119.998737,30.259138,120.113088,13,20.36,160.7,182.2,DJI FlyCart 30,41.9,11.5,17.4,2.64,0.209,155.4,4.26,0,0,0,加急,2.5,0.873
RT-00062,30.327502,119.973627,30.248320,120.037165,13,10.72,67.4,96.6,SF UAS,45.5,21.8,27.7,7.35,0.240,45.4,2.57,4,1,0,普通,40.8,0.665
RT-00063,30.276599,120.086492,30.330075,120.279077,2,19.44,62.0,83.3,ZTO UAV,38.6,18.8,8.4,4.67,0.285,90.7,5.54,2,0,0,紧急,23.8,0.220
RT-00064,30.043632,120.008105,30.090824,120.248852,13,23.78,162.4,252.6,DJI FlyCart 30,33.2,13.5,24.5,2.51,0.103,152.5,2.46,4,1,0,医疗物资,29.9,0.553
RT-00065,30.279830,120.323901,30.055166,120.333126,8,25.03,126.1,172.1,SF UAS,48.2,19.9,16.5,3.09,0.122,110.9,3.04,1,0,0,紧急,45.5,0.294
RT-00066,30.448933,120.047563,30.278066,120.325665,3,32.79,108.7,201.6,SF UAS,19.8,15.4,20.9,4.41,0.210,184.4,6.88,2,0,0,普通,45.5,0.486
RT-00067,30.409168,120.245013,30.080136,120.278737,9,36.77,185.3,280.1,Meituan UAV,36.6,12.1,25.4,9.98,0.070,265.9,2.58,3,0,0,普通,0.4,0.419
RT-00068,30.307993,119.975535,30.182025,119.955651,4,14.15,120.1,153.1,DJI FlyCart 30,15.6,18.9,7.1,1.20,0.298,67.9,4.22,2,0,0,医疗物资,49.1,0.991
RT-00069,30.185702,119.983521,30.214102,120.112608,2,12.82,150.7,205.9,DJI FlyCart 30,27.7,24.4,5.4,5.81,0.159,49.5,2.04,5,1,0,紧急,30.3,0.452
RT-00070,30.297102,120.244918,30.246640,120.321211,12,9.24,190.4,209.8,ZTO UAV,16.6,11.8,29.9,1.92,0.207,71.4,1.91,0,0,0,紧急,14.5,0.588
RT-00071,30.230788,119.986537,30.213637,120.022857,4,3.98,157.3,174.1,EHang Falcon,49.5,21.5,22.0,1.80,0.235,19.4,0.94,0,0,1,紧急,44.7,0.788
RT-00072,30.276824,120.017560,30.249687,120.039202,3,3.67,137.1,164.0,Meituan UAV,48.1,14.9,24.2,8.04,0.183,23.4,0.67,2,0,1,医疗物资,31.8,0.566
RT-00073,30.295310,119.908743,30.297166,119.924718,2,1.55,78.5,130.0,SF UAS,37.3,23.5,17.8,4.72,0.189,10.4,0.29,1,0,1,加急,15.2,0.938
RT-00074,30.256270,119.983767,30.351394,120.013591,4,10.97,85.9,133.5,EHang Falcon,11.1,17.9,5.2,5.97,0.107,53.9,1.18,3,0,0,普通,45.0,0.733
RT-00075,30.223156,120.093830,30.178599,119.918987,11,17.54,197.9,212.5,SF UAS,49.1,12.4,15.7,2.12,0.099,126.4,1.73,4,1,0,紧急,45.2,0.634
RT-00076,30.148453,119.922743,30.078804,120.164202,4,24.51,198.1,275.9,ZTO UAV,31.2,17.3,20.3,4.02,0.058,121.8,1.43,0,0,0,紧急,1.4,0.811
RT-00077,30.168759,120.346668,30.080597,120.041836,6,30.95,151.1,159.3,Meituan UAV,34.4,14.5,9.0,9.74,0.278,184.3,8.62,0,0,0,加急,25.1,0.483
RT-00078,30.447216,120.143243,30.366853,120.089862,9,10.31,79.7,104.7,EHang Falcon,32.0,15.1,12.9,3.25,0.228,62.5,2.36,2,0,0,医疗物资,11.1,0.467
RT-00079,30.268608,120.125538,30.034332,120.072765,12,26.57,58.2,138.8,ZTO UAV,27.1,20.5,28.7,7.63,0.238,111.3,6.34,0,0,0,普通,31.2,0.982
RT-00080,30.126382,120.148908,30.074682,120.338334,10,19.13,142.3,179.9,Meituan UAV,37.1,24.7,21.1,2.86,0.176,71.3,3.36,3,0,0,普通,35.4,0.530
RT-00081,30.133076,120.022549,30.312501,120.242682,13,29.11,123.4,220.9,Meituan UAV,21.1,16.8,27.9,8.40,0.176,150.2,5.12,3,0,0,医疗物资,20.5,0.029
RT-00082,30.125854,120.282105,30.384518,120.271733,7,28.81,55.7,88.1,SF UAS,44.3,17.0,7.4,4.33,0.080,147.4,2.30,2,0,0,普通,28.7,0.006
RT-00083,30.086673,120.272544,30.204115,120.208605,7,14.45,158.8,173.2,DJI FlyCart 30,35.6,23.9,6.0,8.88,0.094,54.1,1.36,5,1,0,紧急,11.3,0.490
RT-00084,30.237827,120.349427,30.180389,120.043877,8,30.08,123.4,214.0,Meituan UAV,28.5,12.0,28.9,7.52,0.150,217.4,4.50,0,0,0,普通,12.4,0.180
RT-00085,30.268566,120.034845,30.078386,119.968052,5,22.13,62.8,77.5,SF UAS,46.9,14.7,17.7,4.87,0.280,130.2,6.20,2,0,0,普通,37.8,0.552
RT-00086,30.405511,119.908831,30.164746,120.117985,3,33.50,99.4,191.5,Meituan UAV,47.2,23.4,14.0,4.82,0.087,122.8,2.90,5,1,0,加急,4.7,0.401
RT-00087,30.032028,120.270506,30.142415,119.952085,7,33.04,139.5,187.5,SF UAS,25.0,20.7,11.2,9.70,0.167,141.2,5.51,4,1,0,普通,41.9,0.973
RT-00088,30.020639,120.041633,30.205912,120.190460,13,25.11,54.4,112.6,Meituan UAV,12.6,12.4,0.7,7.85,0.214,173.6,5.39,5,1,0,加急,22.5,0.043
RT-00089,30.152185,120.086446,30.395155,119.946397,3,30.21,73.3,76.9,DJI FlyCart 30,22.5,24.9,2.4,1.19,0.073,104.4,2.20,3,0,0,紧急,36.4,0.818
RT-00090,30.172946,119.981841,30.372458,120.247344,13,33.84,150.7,176.2,ZTO UAV,45.6,18.6,8.3,9.67,0.267,157.5,9.04,3,0,0,加急,30.1,0.529
RT-00091,30.166890,120.349606,30.350515,120.197088,2,25.16,165.2,240.8,EHang Falcon,49.3,18.9,18.3,9.30,0.230,115.0,5.78,5,1,0,紧急,33.6,0.743
RT-00092,30.274764,120.162472,30.159555,120.241162,5,14.89,149.7,189.8,ZTO UAV,29.6,19.6,28.6,7.73,0.166,67.9,2.48,3,0,0,医疗物资,1.5,0.180
RT-00093,30.320115,119.981698,30.316263,120.041213,4,5.74,123.0,183.3,ZTO UAV,49.2,20.7,20.1,4.84,0.131,27.5,0.75,0,0,1,紧急,12.0,0.513
RT-00094,30.361329,120.194688,30.298600,120.208934,13,7.12,109.4,164.7,ZTO UAV,22.0,16.4,29.4,1.59,0.285,42.0,2.03,1,0,0,加急,15.8,0.170
RT-00095,30.059255,120.102048,30.424790,120.012475,10,41.59,127.8,180.0,ZTO UAV,43.9,11.0,24.1,6.71,0.222,324.7,9.24,0,0,0,医疗物资,30.6,0.278
RT-00096,30.000333,120.044695,30.335847,120.257922,9,42.62,154.3,232.0,Meituan UAV,35.4,10.3,15.9,5.84,0.075,357.1,3.21,4,1,0,医疗物资,43.0,0.632
RT-00097,30.200027,120.338666,30.242980,120.315306,2,5.28,133.4,186.3,EHang Falcon,13.3,10.4,24.3,6.72,0.201,44.9,1.06,1,0,0,加急,21.6,0.530
RT-00098,30.202254,120.145279,30.419250,120.123090,12,24.25,161.8,215.8,ZTO UAV,18.9,17.2,16.8,1.61,0.208,124.5,5.05,5,1,0,普通,23.2,0.891
RT-00099,30.410758,120.170418,30.394042,120.146965,11,2.92,176.5,257.4,Meituan UAV,18.7,21.7,21.5,4.11,0.160,12.1,0.47,4,1,0,普通,21.6,0.417
RT-00100,30.171170,120.245671,30.355598,120.198836,11,21.02,195.8,229.8,ZTO UAV,47.4,10.9,16.8,6.80,0.101,168.9,2.13,0,0,0,加急,1.7,0.023
RT-00101,30.424108,120.315927,30.220465,120.251624,2,23.50,150.7,170.7,DJI FlyCart 30,34.9,17.9,29.8,2.94,0.235,117.2,5.52,3,0,0,紧急,20.8,0.330
RT-00102,30.347820,120.001356,30.059501,119.992542,14,32.11,50.5,102.9,DJI FlyCart 30,36.9,17.6,4.4,8.58,0.145,160.6,4.67,2,0,0,加急,38.8,0.795
RT-00103,30.191745,120.212825,30.304846,120.285912,9,14.42,95.4,122.1,SF UAS,34.9,16.1,29.4,3.88,0.088,76.9,1.27,4,1,0,普通,21.5,0.423
RT-00104,30.231660,119.928556,30.316792,120.065690,11,16.24,65.5,73.6,SF UAS,26.6,14.4,14.5,3.08,0.178,96.9,2.89,1,0,0,普通,23.1,0.104
RT-00105,30.327469,120.232968,30.406304,120.251826,3,8.96,72.0,171.5,ZTO UAV,36.3,23.9,23.8,4.10,0.115,36.9,1.03,4,1,0,医疗物资,9.5,0.659
RT-00106,30.004134,120.047252,30.024149,119.907721,7,13.63,81.8,167.6,SF UAS,12.2,21.0,19.1,6.31,0.169,56.6,2.30,4,1,0,医疗物资,1.2,0.083
RT-00107,30.007524,120.030064,30.400606,120.208299,2,47.00,152.9,247.6,EHang Falcon,46.0,15.8,28.6,3.86,0.112,258.8,5.28,2,0,0,医疗物资,24.1,0.011
RT-00108,30.226297,119.998681,30.226205,120.222186,7,21.50,65.9,144.6,SF UAS,47.4,10.9,11.7,7.91,0.168,170.9,3.61,4,1,0,普通,39.9,0.659
RT-00109,30.397940,120.145892,30.089518,120.160028,11,34.36,118.2,154.0,SF UAS,14.3,16.6,15.5,5.99,0.116,181.5,3.99,3,0,0,紧急,4.5,0.977
RT-00110,30.070130,119.975854,30.268105,119.980503,8,22.04,111.8,169.5,DJI FlyCart 30,43.1,14.3,23.5,6.03,0.109,133.8,2.41,3,0,0,医疗物资,48.0,0.455
RT-00111,30.438022,120.042186,30.129535,120.189642,15,37.15,199.6,204.8,DJI FlyCart 30,23.1,17.6,24.8,7.39,0.251,181.1,9.34,0,0,0,紧急,11.5,0.598
RT-00112,30.036771,120.097815,30.242323,120.190221,15,24.55,155.0,161.3,Meituan UAV,29.0,10.8,23.1,3.81,0.189,198.9,4.64,0,0,0,加急,33.9,0.434
RT-00113,30.017668,120.326346,30.140065,120.143328,4,22.28,166.9,211.9,SF UAS,36.6,23.8,8.2,5.51,0.247,82.7,5.49,2,0,0,普通,22.9,0.229
RT-00114,30.051859,119.987541,30.231011,120.111050,15,23.22,150.0,158.0,SF UAS,27.6,21.6,4.0,7.18,0.150,96.0,3.48,0,0,0,紧急,5.7,0.077
RT-00115,30.026142,120.149317,30.267887,120.057498,12,28.33,74.9,169.3,ZTO UAV,40.2,21.9,9.3,1.88,0.088,112.0,2.49,2,0,0,紧急,46.0,0.067
RT-00116,30.036604,119.924198,30.119179,120.345876,5,41.65,161.3,227.9,EHang Falcon,40.9,22.5,12.8,3.53,0.212,161.9,8.83,4,1,0,紧急,25.5,0.649
RT-00117,30.078653,119.904150,30.422428,120.141902,5,44.58,59.4,117.0,SF UAS,11.6,24.3,10.6,4.84,0.238,157.3,10.59,2,0,0,普通,5.5,0.177
RT-00118,30.120052,120.023560,30.290855,120.035770,10,19.05,159.6,223.3,SF UAS,15.3,15.2,9.2,5.41,0.120,111.4,2.28,0,0,0,紧急,23.7,0.032
RT-00119,30.371178,120.087596,30.014024,119.943862,3,42.10,53.6,62.7,DJI FlyCart 30,46.0,11.3,3.7,3.75,0.248,322.9,10.43,0,0,0,普通,36.2,0.059
RT-00120,30.244550,120.342401,30.350003,120.303083,9,12.33,62.2,84.8,EHang Falcon,37.6,21.2,16.0,7.04,0.146,54.5,1.80,1,0,0,紧急,33.9,0.581
RT-00121,30.095747,120.173186,30.192595,120.167000,15,10.80,59.7,106.0,SF UAS,49.5,20.6,27.6,4.09,0.064,47.8,0.69,1,0,0,加急,41.6,0.925
RT-00122,30.015233,120.290837,30.249130,119.982844,3,39.46,169.4,173.4,Meituan UAV,29.4,12.3,28.4,8.92,0.247,278.0,9.74,5,1,0,加急,14.4,0.762
RT-00123,30.174650,120.319676,30.079659,120.017197,5,30.98,179.6,184.7,SF UAS,14.5,13.8,29.6,4.68,0.134,192.6,4.16,1,0,0,普通,48.2,0.908
RT-00124,30.134532,120.152629,30.018873,120.116670,5,13.33,178.7,278.3,SF UAS,41.2,12.9,24.0,6.19,0.295,89.1,3.93,2,0,0,医疗物资,3.8,0.105
RT-00125,30.169007,120.337834,30.008989,120.173956,6,23.80,61.6,112.9,DJI FlyCart 30,22.2,22.7,21.2,2.14,0.259,90.3,6.16,0,0,0,紧急,0.3,0.231
RT-00126,30.446398,119.936359,30.362140,120.262797,10,32.72,169.6,254.6,ZTO UAV,38.9,24.1,19.0,6.40,0.267,121.2,8.75,5,1,0,医疗物资,9.3,0.959
RT-00127,30.384269,119.938804,30.073748,120.282567,5,47.83,150.6,205.1,Meituan UAV,30.5,15.2,12.7,7.89,0.237,269.6,11.32,0,0,0,普通,33.8,0.500
RT-00128,30.379048,120.324242,30.020324,119.901923,3,56.97,91.8,127.6,EHang Falcon,22.6,23.5,13.1,7.73,0.276,211.3,15.71,5,1,0,紧急,23.9,0.310
RT-00129,30.004429,119.915016,30.416056,120.169338,7,51.94,92.3,171.1,Meituan UAV,34.0,14.6,12.4,5.77,0.241,309.9,12.54,0,0,0,医疗物资,11.6,0.375
RT-00130,30.059276,120.108936,30.003997,120.156931,6,7.70,83.7,183.5,EHang Falcon,13.3,17.2,8.8,9.22,0.137,41.9,1.06,3,0,0,加急,37.7,0.873
RT-00131,30.042375,120.256009,30.045533,119.998473,7,24.82,182.4,252.4,Meituan UAV,20.7,24.7,22.9,2.21,0.237,87.6,5.87,4,1,0,普通,22.3,0.214
RT-00132,30.380955,119.981709,30.098633,120.213265,8,38.52,60.1,67.4,DJI FlyCart 30,21.5,19.0,29.3,8.14,0.172,175.6,6.61,2,0,0,普通,27.5,0.067
RT-00133,30.362950,120.198426,30.111173,120.237494,7,28.28,72.7,116.8,ZTO UAV,25.8,21.6,18.9,8.67,0.178,116.2,5.04,4,1,0,普通,2.6,0.229
RT-00134,30.412375,119.906459,30.221541,120.185661,2,34.22,173.8,198.4,ZTO UAV,35.6,22.3,18.5,6.87,0.217,135.8,7.43,5,1,0,紧急,4.8,0.398
RT-00135,30.424597,120.105269,30.401274,119.947320,8,15.38,146.1,212.1,DJI FlyCart 30,27.1,12.3,25.6,4.55,0.124,110.4,1.90,4,1,0,医疗物资,8.6,0.674
RT-00136,30.214509,119.924620,30.269085,120.249173,2,31.80,157.1,189.6,Meituan UAV,29.9,15.6,12.5,2.11,0.142,177.7,4.51,1,0,0,医疗物资,10.1,0.949
RT-00137,30.433368,120.281909,30.158479,120.259198,4,30.68,122.0,131.1,DJI FlyCart 30,36.1,11.9,23.5,3.37,0.226,220.3,6.94,0,0,0,医疗物资,8.1,0.088
RT-00138,30.257823,120.257633,30.040843,120.134512,14,26.91,86.5,167.9,ZTO UAV,44.6,17.7,23.1,4.34,0.131,130.2,3.53,1,0,0,加急,45.5,0.652
RT-00139,30.369047,120.085639,30.138823,120.142772,9,26.21,139.8,204.4,Meituan UAV,21.1,20.7,6.2,3.01,0.295,110.6,7.72,0,0,0,医疗物资,14.9,0.530
RT-00140,30.067686,119.992798,30.348746,120.080852,13,32.41,89.4,157.3,SF UAS,49.5,20.3,12.3,9.33,0.297,141.0,9.63,5,1,0,普通,0.7,0.795
RT-00141,30.028403,120.067170,30.045850,120.026549,12,4.37,146.1,199.7,EHang Falcon,16.5,11.8,2.8,7.38,0.110,36.4,0.48,1,0,0,加急,45.5,0.798
RT-00142,30.138237,120.319141,30.224229,120.268863,12,10.73,69.3,164.5,Meituan UAV,44.1,13.3,27.7,7.28,0.283,68.9,3.04,0,0,0,普通,34.3,0.956
RT-00143,30.120745,119.964601,30.229430,120.220187,10,27.41,149.6,175.1,Meituan UAV,14.1,22.4,23.9,7.90,0.187,107.4,5.12,2,0,0,医疗物资,42.9,0.071
RT-00144,30.131665,120.049759,30.065504,120.196037,2,15.90,77.4,122.1,Meituan UAV,41.0,12.6,1.6,8.17,0.119,111.0,1.89,2,0,0,医疗物资,44.9,0.513
RT-00145,30.184224,119.910845,30.279668,120.100084,14,21.08,181.0,203.7,Meituan UAV,46.5,20.4,20.1,6.71,0.125,90.5,2.63,0,0,0,医疗物资,1.6,0.011
