sample_id,grid_id,city,city_code,timestamp_hour,airspace_class,population_density_index,flight_density_index,sensor_coverage_score,communication_quality_score,wind_speed_mps,rainfall_mm_h,visibility_km,historical_alert_count_24h,computed_risk_score,risk_event_label,data_nature,source_basis
MF0000019,410100_G0345,郑州,410100,2026-06-06 03:00:00,文旅体验区,307.6,20.11,0.476,0.839,4.44,1.28,10.03,1,33.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000020,440300_G0460,深圳,440300,2026-06-03 04:00:00,文旅体验区,774.57,28.33,0.94,0.636,1.04,0.29,9.12,2,37.36,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000021,440300_G0280,深圳,440300,2026-06-03 21:00:00,适飞空域,280.45,1.9,0.561,0.943,1.11,0.82,10.15,0,25.84,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000022,320500_G0324,苏州,320500,2026-06-06 19:00:00,文旅体验区,817.26,27.13,0.602,0.56,3.97,1.16,11.9,2,36.98,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000023,410100_G0348,郑州,410100,2026-06-05 16:00:00,适飞空域,227.38,0.0,0.649,0.943,4.27,0.87,7.92,1,16.18,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000024,340100_G0084,合肥,340100,2026-06-01 14:00:00,敏感目标保护区,799.49,7.84,0.758,0.71,5.52,0.19,7.76,4,80.53,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000025,320600_G0211,南通,320600,2026-06-02 04:00:00,机场净空保护区,908.0,20.27,0.874,0.488,3.24,0.46,8.58,1,79.65,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000026,610100_G0438,西安,610100,2026-06-07 04:00:00,文旅体验区,1009.98,10.75,0.853,0.619,2.76,0.12,10.22,1,26.32,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000027,320500_G0371,苏州,320500,2026-06-06 22:00:00,适飞空域,2007.94,11.55,0.514,0.4,7.52,1.69,3.83,3,34.91,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000028,320100_G0430,南京,320100,2026-06-06 17:00:00,低空物流走廊,1125.53,6.78,0.737,0.785,1.76,0.17,15.26,0,20.38,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000029,441900_G0143,东莞,441900,2026-06-05 18:00:00,管制空域,613.97,6.76,0.859,0.92,5.72,0.64,6.99,2,56.81,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000030,440300_G0014,深圳,440300,2026-06-06 12:00:00,适飞空域,2226.01,17.4,0.665,0.775,1.42,0.78,4.72,0,39.04,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000031,110000_G0257,北京,110000,2026-06-01 02:00:00,敏感目标保护区,1532.81,30.84,0.857,0.703,2.47,0.18,5.91,3,85.01,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000032,510100_G0093,成都,510100,2026-06-03 19:00:00,适飞空域,1066.58,8.14,0.566,0.801,0.71,0.08,8.79,2,27.49,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000033,320500_G0153,苏州,320500,2026-06-07 06:00:00,适飞空域,908.27,13.03,0.429,0.897,0.79,0.33,8.74,1,31.74,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000034,310000_G0041,上海,310000,2026-06-04 13:00:00,适飞空域,3197.03,8.52,0.419,0.968,3.54,0.35,8.2,2,27.08,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000035,350200_G0243,厦门,350200,2026-06-06 06:00:00,适飞空域,384.13,37.52,0.635,0.734,7.96,0.46,7.9,0,6.51,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000036,350200_G0231,厦门,350200,2026-06-03 17:00:00,适飞空域,1377.42,8.8,0.725,0.756,3.83,0.05,6.1,2,30.53,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000037,440100_G0338,广州,440100,2026-06-05 20:00:00,低空物流走廊,1865.45,18.56,0.602,0.749,5.07,1.66,3.51,1,9.36,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000038,440100_G0282,广州,440100,2026-06-07 09:00:00,禁飞区,1562.16,6.12,0.956,0.741,5.57,3.68,5.76,1,99.81,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000039,310000_G0244,上海,310000,2026-06-06 05:00:00,适飞空域,1674.44,16.25,0.756,0.805,1.64,2.71,7.69,0,16.52,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000040,420100_G0200,武汉,420100,2026-06-06 11:00:00,管制空域,1193.2,20.03,0.713,0.792,4.89,0.26,5.51,1,49.45,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000041,430100_G0223,长沙,430100,2026-06-06 22:00:00,管制空域,3114.47,31.85,0.758,0.817,3.72,0.09,11.88,0,56.85,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000042,340100_G0247,合肥,340100,2026-06-04 21:00:00,禁飞区,2737.53,30.12,0.82,0.572,5.99,0.55,12.24,7,79.89,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000043,320600_G0264,南通,320600,2026-06-01 08:00:00,机场净空保护区,365.5,25.03,0.785,0.703,3.57,0.64,4.62,2,63.47,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000044,320100_G0311,南京,320100,2026-06-04 13:00:00,适飞空域,472.85,3.17,0.446,0.95,2.12,0.79,14.35,1,21.5,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000045,441900_G0406,东莞,441900,2026-06-01 16:00:00,机场净空保护区,2086.25,24.79,0.689,0.8,5.25,0.97,10.34,1,73.24,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000046,320500_G0286,苏州,320500,2026-06-07 04:00:00,机场净空保护区,5348.76,6.5,0.701,0.802,3.46,1.08,8.44,4,58.72,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000047,320500_G0399,苏州,320500,2026-06-04 21:00:00,适飞空域,2629.67,14.13,0.929,0.805,4.4,0.64,9.11,1,32.4,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000048,350200_G0396,厦门,350200,2026-06-03 12:00:00,适飞空域,1601.9,15.17,0.75,0.688,3.35,0.62,5.54,0,28.98,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000049,440300_G0247,深圳,440300,2026-06-06 11:00:00,机场净空保护区,2345.11,12.98,0.533,0.787,4.32,0.12,9.87,4,62.33,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000050,370200_G0272,青岛,370200,2026-06-03 16:00:00,管制空域,950.15,12.09,0.406,0.7,6.33,0.26,7.61,0,48.51,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000051,410100_G0331,郑州,410100,2026-06-03 22:00:00,禁飞区,1560.29,39.13,0.549,0.96,4.99,2.36,10.77,6,90.48,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000052,430100_G0233,长沙,430100,2026-06-03 00:00:00,适飞空域,4917.23,0.0,0.961,0.733,5.35,0.36,9.4,3,28.46,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000053,500000_G0267,重庆,500000,2026-06-07 23:00:00,适飞空域,3293.87,10.62,0.676,0.637,6.37,0.59,4.82,1,21.25,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000054,320500_G0117,苏州,320500,2026-06-06 01:00:00,低空物流走廊,795.45,2.8,0.535,0.953,3.26,1.11,7.81,4,39.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000055,500000_G0042,重庆,500000,2026-06-03 21:00:00,管制空域,4076.14,75.3,0.882,0.826,5.1,0.09,12.21,3,46.2,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000056,320500_G0349,苏州,320500,2026-06-04 07:00:00,敏感目标保护区,1915.3,4.46,0.721,0.847,7.08,0.29,7.17,2,72.31,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000057,500000_G0415,重庆,500000,2026-06-05 05:00:00,敏感目标保护区,3965.75,34.08,0.933,0.849,4.24,0.01,9.65,5,80.58,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000058,440400_G0429,珠海,440400,2026-06-03 23:00:00,适飞空域,1301.99,25.68,0.719,0.543,0.15,0.25,8.03,0,28.15,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000059,320100_G0077,南京,320100,2026-06-01 06:00:00,敏感目标保护区,734.02,14.32,0.686,0.862,6.75,1.83,11.22,4,71.14,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000060,310000_G0477,上海,310000,2026-06-05 11:00:00,敏感目标保护区,2335.29,22.34,0.807,0.8,5.31,1.03,5.77,2,87.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000061,320100_G0217,南京,320100,2026-06-07 23:00:00,管制空域,441.98,24.76,0.874,0.949,2.28,0.17,3.57,1,45.64,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000062,320100_G0094,南京,320100,2026-06-05 12:00:00,低空物流走廊,1800.72,15.41,0.785,0.905,2.12,0.65,5.87,1,24.59,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000063,610100_G0449,西安,610100,2026-06-05 04:00:00,适飞空域,754.02,5.29,0.811,0.888,2.27,0.11,7.49,0,2.11,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000064,310000_G0321,上海,310000,2026-06-03 19:00:00,适飞空域,4417.3,7.27,0.841,0.848,5.44,0.11,10.73,0,25.06,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000065,510100_G0361,成都,510100,2026-06-04 23:00:00,适飞空域,1012.95,2.57,0.788,0.849,5.57,1.37,6.52,0,18.75,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000066,460100_G0115,海口,460100,2026-06-07 12:00:00,管制空域,2444.92,29.45,0.79,0.791,6.6,0.14,10.83,3,70.85,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000067,420100_G0382,武汉,420100,2026-06-06 02:00:00,机场净空保护区,998.74,17.24,0.722,0.924,1.81,0.21,10.31,4,70.77,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000068,110000_G0310,北京,110000,2026-06-06 02:00:00,适飞空域,2349.98,7.59,0.833,0.711,5.92,0.16,6.34,1,16.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000069,430100_G0284,长沙,430100,2026-06-07 21:00:00,禁飞区,2297.3,10.02,0.966,0.789,4.08,0.54,10.2,2,85.75,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000070,330100_G0453,杭州,330100,2026-06-04 22:00:00,适飞空域,2878.02,15.51,0.648,0.617,3.33,0.96,10.39,0,27.53,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000071,320100_G0167,南京,320100,2026-06-01 17:00:00,禁飞区,1698.09,0.0,0.729,0.413,4.16,0.04,8.62,4,98.55,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000072,610100_G0416,西安,610100,2026-06-04 05:00:00,适飞空域,1758.68,2.6,0.806,0.701,6.23,0.05,9.01,0,2.19,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000073,350200_G0089,厦门,350200,2026-06-05 03:00:00,适飞空域,4169.43,11.9,0.425,0.519,0.0,1.09,5.68,0,23.35,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000074,310000_G0454,上海,310000,2026-06-04 23:00:00,管制空域,2306.26,18.41,0.947,0.902,2.85,0.26,8.24,2,57.4,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000075,610100_G0081,西安,610100,2026-06-01 10:00:00,管制空域,3135.39,32.64,0.822,0.889,4.75,0.21,11.86,0,41.45,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000076,610100_G0340,西安,610100,2026-06-06 11:00:00,禁飞区,2406.48,16.02,0.653,0.626,5.99,0.1,10.71,5,97.25,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000077,320500_G0470,苏州,320500,2026-06-07 01:00:00,文旅体验区,966.21,20.88,0.951,0.494,3.79,0.01,5.86,0,22.19,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000078,440300_G0251,深圳,440300,2026-06-01 17:00:00,适飞空域,2762.56,9.78,0.849,0.851,0.0,0.95,9.64,2,23.45,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000079,460100_G0294,海口,460100,2026-06-04 09:00:00,适飞空域,1228.38,11.14,0.836,0.971,6.55,0.01,4.41,0,12.63,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000080,320600_G0056,南通,320600,2026-06-04 14:00:00,适飞空域,4193.44,22.14,0.892,0.809,6.36,0.08,11.99,1,14.98,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000081,370200_G0176,青岛,370200,2026-06-03 20:00:00,禁飞区,973.39,22.56,0.727,0.733,6.11,3.32,8.57,2,76.45,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000082,500000_G0293,重庆,500000,2026-06-05 09:00:00,敏感目标保护区,939.1,20.61,0.851,0.887,1.77,2.65,9.72,1,76.15,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000083,440100_G0111,广州,440100,2026-06-06 04:00:00,管制空域,848.96,54.5,0.774,0.685,3.74,1.91,9.87,3,55.35,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000084,310000_G0016,上海,310000,2026-06-01 18:00:00,适飞空域,1959.09,26.66,0.689,0.742,3.7,0.33,8.28,0,20.49,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000085,320500_G0431,苏州,320500,2026-06-04 10:00:00,适飞空域,1638.03,20.46,0.69,0.332,2.87,0.11,14.9,1,19.77,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000086,320100_G0471,南京,320100,2026-06-06 08:00:00,适飞空域,1132.51,6.51,0.546,0.949,1.39,0.33,7.83,0,0.0,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000087,441900_G0036,东莞,441900,2026-06-06 15:00:00,管制空域,2054.97,11.04,0.947,0.839,0.07,1.2,5.03,1,52.83,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000088,420100_G0231,武汉,420100,2026-06-02 20:00:00,低空物流走廊,1061.38,21.36,0.812,0.604,2.24,0.07,8.12,0,34.97,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000089,440100_G0139,广州,440100,2026-06-05 02:00:00,适飞空域,2531.99,23.41,0.912,0.537,5.09,0.68,9.26,1,34.76,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000090,440300_G0136,深圳,440300,2026-06-07 14:00:00,适飞空域,1852.35,24.47,0.77,0.631,3.09,0.05,9.07,3,31.18,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000091,610100_G0477,西安,610100,2026-06-06 19:00:00,适飞空域,339.55,94.72,0.466,0.525,0.43,0.86,6.5,0,6.84,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000092,440100_G0377,广州,440100,2026-06-02 19:00:00,适飞空域,1610.96,12.56,0.543,0.735,4.63,0.44,6.61,0,10.98,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000093,510100_G0457,成都,510100,2026-06-02 11:00:00,适飞空域,4553.37,26.34,0.449,0.529,2.7,0.94,7.11,1,26.51,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000094,610100_G0151,西安,610100,2026-06-07 06:00:00,适飞空域,1607.53,16.1,0.159,0.898,0.0,0.36,9.01,1,27.84,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000095,440300_G0469,深圳,440300,2026-06-03 18:00:00,机场净空保护区,1976.31,18.55,0.496,0.855,4.53,0.81,5.38,3,76.37,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000096,340100_G0155,合肥,340100,2026-06-01 17:00:00,管制空域,4084.55,12.26,0.695,0.526,5.55,0.71,1.43,0,40.76,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000097,330100_G0193,杭州,330100,2026-06-02 18:00:00,适飞空域,4753.24,36.69,0.833,0.874,2.65,0.62,11.4,0,8.81,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000098,440100_G0262,广州,440100,2026-06-06 07:00:00,适飞空域,285.07,8.82,0.826,0.739,2.13,0.08,8.7,1,17.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000099,500000_G0289,重庆,500000,2026-06-05 07:00:00,管制空域,1262.95,15.98,0.707,0.583,6.48,0.01,5.04,3,68.38,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000100,370200_G0347,青岛,370200,2026-06-07 09:00:00,适飞空域,386.8,32.38,0.834,0.743,0.0,0.19,12.28,1,12.46,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000101,440100_G0409,广州,440100,2026-06-07 20:00:00,适飞空域,1813.81,9.76,0.738,0.704,5.45,1.47,7.08,1,28.49,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000102,340100_G0417,合肥,340100,2026-06-02 00:00:00,管制空域,334.63,1.77,0.443,0.818,6.18,0.16,13.34,3,58.93,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000103,310000_G0026,上海,310000,2026-06-06 04:00:00,机场净空保护区,1017.97,16.17,0.863,0.751,6.26,0.39,6.7,4,51.17,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000104,440300_G0297,深圳,440300,2026-06-02 21:00:00,禁飞区,2017.16,14.28,0.9,0.568,4.05,0.48,7.52,2,82.64,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000105,320100_G0316,南京,320100,2026-06-04 14:00:00,机场净空保护区,2797.74,9.42,0.773,0.82,1.02,2.41,7.92,1,83.9,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000106,510100_G0333,成都,510100,2026-06-01 15:00:00,文旅体验区,4328.99,9.59,0.595,0.776,3.38,2.11,12.61,1,42.06,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000107,510100_G0031,成都,510100,2026-06-01 22:00:00,适飞空域,1625.7,5.59,0.694,0.776,1.94,0.21,8.17,2,22.54,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000108,500000_G0033,重庆,500000,2026-06-03 22:00:00,管制空域,1209.76,6.82,0.916,0.642,4.98,0.95,10.81,4,52.36,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000109,440300_G0306,深圳,440300,2026-06-01 15:00:00,管制空域,1867.67,10.71,0.411,0.775,6.25,0.12,4.16,4,77.24,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000110,440300_G0096,深圳,440300,2026-06-01 23:00:00,适飞空域,1299.29,13.04,0.897,0.651,3.67,0.41,1.59,1,7.2,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000111,110000_G0280,北京,110000,2026-06-01 07:00:00,低空物流走廊,2134.68,24.21,0.57,0.865,5.26,0.2,4.09,0,30.7,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000112,110000_G0265,北京,110000,2026-06-04 22:00:00,敏感目标保护区,90.08,3.81,0.678,0.344,1.75,0.08,10.47,3,81.81,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000113,430100_G0160,长沙,430100,2026-06-04 00:00:00,适飞空域,2851.99,5.19,0.737,0.755,9.18,0.71,9.49,0,13.12,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000114,330100_G0459,杭州,330100,2026-06-05 23:00:00,机场净空保护区,2308.03,34.48,0.867,0.583,2.18,0.42,6.25,6,88.31,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000115,350200_G0405,厦门,350200,2026-06-05 17:00:00,适飞空域,967.42,3.98,0.56,0.595,3.79,0.04,11.2,1,27.11,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000116,330100_G0207,杭州,330100,2026-06-05 08:00:00,低空物流走廊,2901.02,7.03,0.952,0.745,5.59,0.01,8.0,0,14.69,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000117,440100_G0033,广州,440100,2026-06-07 02:00:00,文旅体验区,143.26,13.44,0.652,0.997,2.59,1.35,7.08,3,45.79,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000118,610100_G0434,西安,610100,2026-06-07 17:00:00,适飞空域,255.41,26.08,0.777,0.748,4.71,0.63,7.37,2,11.66,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0000119,500000_G0281,重庆,500000,2026-06-06 01:00:00,敏感目标保护区,2326.19,18.4,0.506,0.833,3.09,0.1,4.95,2,74.85,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
