alert_id,flight_plan_id,aircraft_id,city,city_code,route_id,timestamp,alert_type,severity,lat,lon,altitude_m,detection_source,confidence,disposal_status,response_time_min,closed_loop,data_nature,source_basis
AL0000015,FP005228,UAV01485,北京,110000,RT_110000_024,2026-02-04 16:20:37,人群密集区飞越,高,39.8296441,116.3914456,57.93,无人机云系统,0.845,已闭环,7.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000016,FP000512,UAV01200,上海,310000,RT_310000_052,2026-05-25 15:10:12,超高风险,严重,31.2724762,121.4102498,117.47,无人机云系统,0.423,已闭环,7.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000017,FP006204,UAV02263,郑州,410100,RT_410100_041,2026-05-01 06:55:04,气象风险,中,34.8958295,113.7295456,62.91,无人机云系统,0.385,已闭环,4.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000018,FP007061,UAV00411,重庆,500000,RT_500000_058,2026-06-23 17:27:00,远程识别异常,高,29.723907,106.4441551,6.47,雷达,0.694,已闭环,0.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000019,FP004058,UAV01334,重庆,500000,RT_500000_050,2026-04-12 19:38:39,超高风险,严重,29.4376586,106.5096932,35.24,光电,0.859,已闭环,1.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000020,FP006538,UAV01226,苏州,320500,RT_320500_055,2026-02-19 01:26:37,禁飞区接近,严重,31.4052771,120.5672031,34.5,雷达,0.659,处理中,2.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000021,FP000540,UAV01829,武汉,420100,RT_420100_044,2026-01-16 19:19:28,远程识别异常,高,30.7150506,114.2509573,66.64,无人机云系统,0.255,处理中,5.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000022,FP002088,UAV00399,杭州,330100,RT_330100_035,2026-02-09 22:12:53,禁飞区接近,严重,30.2490228,120.2005626,17.75,无人机云系统,0.953,已闭环,0.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000023,FP000521,UAV01929,珠海,440400,RT_440400_041,2026-06-15 09:16:55,禁飞区接近,严重,22.2211681,113.6303863,18.94,无人机云系统,0.837,待核查,0.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000024,FP003520,UAV01824,南京,320100,RT_320100_034,2026-06-24 21:54:45,通信链路弱,中,32.2008389,118.6532767,25.01,无人机云系统,0.716,已闭环,13.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000025,FP001877,UAV02133,青岛,370200,RT_370200_023,2026-02-01 20:12:04,电子围栏越界,高,36.0021938,120.3735228,0.67,无人机云系统,0.773,处理中,8.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000026,FP002393,UAV00221,武汉,420100,RT_420100_013,2026-04-21 08:15:33,通信链路弱,中,30.4579751,114.3182853,22.32,射频,0.902,已闭环,0.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000027,FP002643,UAV00287,广州,440100,RT_440100_043,2026-05-11 09:12:57,超高风险,严重,23.0672282,113.3837203,161.82,雷达,0.604,待核查,14.4,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000028,FP006132,UAV00643,苏州,320500,RT_320500_059,2026-03-18 21:02:57,疑似黑飞目标,严重,31.1476188,120.5982465,12.46,无人机云系统,0.876,已闭环,12.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000029,FP004394,UAV01739,郑州,410100,RT_410100_002,2026-01-15 20:22:16,电子围栏越界,高,34.6824258,113.8087998,115.99,雷达,0.825,处理中,6.0,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000030,FP002478,UAV01625,南京,320100,RT_320100_003,2026-04-30 19:47:31,疑似黑飞目标,严重,31.9494338,118.8593893,103.79,光电,0.82,已闭环,3.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000031,FP002625,UAV01310,上海,310000,RT_310000_033,2026-06-16 19:07:57,超高风险,严重,31.0898389,121.3050482,23.92,射频,0.68,已闭环,9.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000032,FP004464,UAV01098,杭州,330100,RT_330100_009,2026-05-26 02:31:00,速度异常,中,30.1037904,119.9464463,9.52,光电,0.912,已闭环,10.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000033,FP000086,UAV02155,长沙,430100,RT_430100_016,2026-06-15 12:43:41,电子围栏越界,高,28.2207845,112.9277803,97.46,雷达,0.6,已闭环,5.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000034,FP001276,UAV02666,苏州,320500,RT_320500_010,2026-06-21 01:22:12,气象风险,中,31.3401843,120.6974971,99.19,无人机云系统,0.565,已闭环,3.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000035,FP006854,UAV01889,西安,610100,RT_610100_037,2026-05-31 10:54:14,超高风险,严重,34.2942333,108.9503978,163.53,无人机云系统,0.973,已闭环,23.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000036,FP001486,UAV00583,广州,440100,RT_440100_033,2026-01-04 16:47:08,气象风险,中,23.3184001,113.311346,107.44,雷达,0.819,处理中,17.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000037,FP002291,UAV00486,郑州,410100,RT_410100_040,2026-03-27 23:30:14,电子围栏越界,高,34.6154454,113.6889717,82.62,射频,0.71,已闭环,6.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000038,FP000151,UAV00614,合肥,340100,RT_340100_037,2026-04-24 15:09:43,超高风险,严重,31.7781304,117.2998533,143.0,无人机云系统,0.718,处理中,8.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000039,FP005639,UAV00551,深圳,440300,RT_440300_038,2026-06-21 21:52:45,电子围栏越界,高,22.4278717,114.2924145,70.91,雷达,0.523,待核查,9.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000040,FP005755,UAV01882,成都,510100,RT_510100_039,2026-03-23 13:18:49,疑似黑飞目标,严重,30.7567698,104.1308495,15.15,无人机云系统,0.754,已闭环,14.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000041,FP005663,UAV00810,长沙,430100,RT_430100_008,2026-06-21 16:46:00,禁飞区接近,严重,28.3032949,113.1885844,0.0,无人机云系统,0.7,已闭环,1.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000042,FP001182,UAV01007,合肥,340100,RT_340100_054,2026-03-30 12:04:08,禁飞区接近,严重,31.8202434,117.3030106,57.76,5G-A通感,0.89,处理中,5.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000043,FP004148,UAV01282,南京,320100,RT_320100_015,2026-05-10 06:10:06,气象风险,中,32.179255,118.7819612,33.81,融合识别,0.713,已闭环,5.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000044,FP006368,UAV01948,成都,510100,RT_510100_045,2026-05-12 22:30:04,通信链路弱,中,30.6633572,104.1701222,31.75,5G-A通感,0.442,处理中,1.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000045,FP004320,UAV00501,广州,440100,RT_440100_004,2026-06-27 05:42:41,超高风险,严重,23.1417652,113.2185859,160.37,无人机云系统,0.945,已闭环,5.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000046,FP003592,UAV01158,西安,610100,RT_610100_057,2026-05-15 01:56:10,疑似黑飞目标,严重,34.5372677,108.7350357,36.7,光电,0.946,处理中,1.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000047,FP003210,UAV02549,东莞,441900,RT_441900_033,2026-01-29 04:36:47,气象风险,中,23.010348,113.8459665,46.52,光电,0.762,待核查,0.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000048,FP002291,UAV00486,郑州,410100,RT_410100_040,2026-03-27 23:29:53,人群密集区飞越,高,34.6238105,113.6793897,76.03,射频,0.882,已闭环,6.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000049,FP000086,UAV02155,长沙,430100,RT_430100_016,2026-06-15 12:44:39,通信链路弱,中,28.2199675,112.9258459,97.83,5G-A通感,0.844,已闭环,16.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000050,FP005663,UAV00810,长沙,430100,RT_430100_008,2026-06-21 16:50:49,远程识别异常,高,28.2619903,113.1161673,69.79,光电,0.604,已闭环,6.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000051,FP006783,UAV00097,长沙,430100,RT_430100_031,2026-03-02 06:53:41,通信链路弱,中,28.2250764,113.1102486,120.2,光电,0.836,已闭环,0.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000052,FP007889,UAV00415,成都,510100,RT_510100_024,2026-05-02 02:42:00,人群密集区飞越,高,30.6426487,103.8639711,3.96,光电,0.574,待核查,7.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000053,FP000869,UAV02276,合肥,340100,RT_340100_049,2026-03-03 07:05:04,低电量告警,中,31.8564272,117.2191165,65.94,雷达,0.517,处理中,11.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000054,FP005951,UAV00126,北京,110000,RT_110000_014,2026-06-04 01:50:02,疑似黑飞目标,严重,39.9755313,116.3946322,32.76,雷达,0.823,已闭环,4.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000055,FP000925,UAV01520,杭州,330100,RT_330100_006,2026-05-15 04:28:16,低电量告警,中,30.4672754,120.3644538,51.02,射频,0.837,已闭环,11.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000056,FP000171,UAV00980,深圳,440300,RT_440300_007,2026-01-18 03:07:06,远程识别异常,高,22.4869124,114.3155841,88.93,无人机云系统,0.837,已闭环,1.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000057,FP006939,UAV00408,珠海,440400,RT_440400_008,2026-05-22 11:50:28,速度异常,中,22.1938927,113.4632165,101.42,射频,0.88,已闭环,5.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000058,FP007676,UAV02495,南京,320100,RT_320100_044,2026-03-16 04:05:12,电子围栏越界,高,31.9604583,118.731347,79.09,射频,0.662,待核查,23.4,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000059,FP007512,UAV01063,广州,440100,RT_440100_060,2026-06-25 01:01:45,禁飞区接近,严重,23.3027829,113.3585169,61.79,光电,0.892,误报,1.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000060,FP000068,UAV01892,海口,460100,RT_460100_039,2026-02-06 19:15:43,远程识别异常,高,20.1109397,110.0534809,81.13,雷达,0.905,处理中,15.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000061,FP001992,UAV02138,苏州,320500,RT_320500_008,2026-06-15 07:36:12,疑似黑飞目标,严重,31.2057605,120.5327803,107.01,射频,0.941,已闭环,2.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000062,FP000047,UAV02676,广州,440100,RT_440100_057,2026-04-24 02:38:24,电子围栏越界,高,23.1848872,113.0611471,65.5,无人机云系统,0.739,处理中,7.0,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000063,FP004815,UAV00671,长沙,430100,RT_430100_030,2026-02-23 18:03:06,电子围栏越界,高,28.3084959,113.0207699,138.86,无人机云系统,0.859,误报,7.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000064,FP001884,UAV01490,南通,320600,RT_320600_010,2026-01-31 16:51:10,超高风险,严重,31.9777584,120.7912897,51.43,光电,0.573,已闭环,1.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000065,FP005952,UAV02394,合肥,340100,RT_340100_001,2026-01-25 16:57:16,气象风险,中,31.8796613,117.3368203,63.21,雷达,0.922,已闭环,1.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000066,FP000851,UAV00153,珠海,440400,RT_440400_014,2026-04-30 19:31:47,通信链路弱,中,22.3441231,113.3899442,118.01,雷达,0.734,已闭环,6.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000067,FP002295,UAV02690,重庆,500000,RT_500000_018,2026-01-29 14:43:18,疑似黑飞目标,严重,29.4927646,106.6533048,123.41,光电,0.924,已闭环,3.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000068,FP003769,UAV01892,南通,320600,RT_320600_005,2026-01-21 20:42:45,电子围栏越界,高,32.0283482,120.7439106,103.98,融合识别,0.771,处理中,3.4,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000069,FP002943,UAV01981,青岛,370200,RT_370200_054,2026-02-10 13:58:06,通信链路弱,中,36.1553696,120.4151795,46.85,光电,0.93,处理中,14.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000070,FP000114,UAV00472,长沙,430100,RT_430100_032,2026-02-02 09:18:04,气象风险,中,28.2728752,112.8529175,66.32,雷达,0.726,已闭环,6.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000071,FP000254,UAV00029,武汉,420100,RT_420100_031,2026-05-17 21:35:45,速度异常,中,30.5643793,114.2185865,26.34,无人机云系统,0.688,已闭环,14.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000072,FP000696,UAV02156,郑州,410100,RT_410100_023,2026-06-04 20:33:22,低电量告警,中,34.6720759,113.780754,10.87,5G-A通感,0.794,待核查,4.0,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000073,FP002202,UAV01284,合肥,340100,RT_340100_042,2026-05-25 08:50:14,电子围栏越界,高,31.8186481,117.4371274,121.99,射频,0.389,已闭环,9.3,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000074,FP005461,UAV02222,广州,440100,RT_440100_002,2026-04-05 00:15:16,低电量告警,中,23.2124901,113.5260112,11.48,无人机云系统,0.602,待核查,3.9,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000075,FP007406,UAV01409,南京,320100,RT_320100_040,2026-01-11 21:44:45,电子围栏越界,高,32.0102861,118.6861672,62.4,融合识别,0.804,已闭环,12.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000076,FP005453,UAV00299,珠海,440400,RT_440400_030,2026-05-10 02:01:10,禁飞区接近,严重,22.4365523,113.4126974,33.23,无人机云系统,0.724,待核查,9.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000077,FP007569,UAV01087,杭州,330100,RT_330100_010,2026-02-10 17:25:55,人群密集区飞越,高,30.3260873,119.967843,70.94,无人机云系统,0.831,待核查,7.4,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000078,FP001230,UAV02264,广州,440100,RT_440100_045,2026-03-19 03:00:08,疑似黑飞目标,严重,23.2246671,113.1049397,52.16,射频,0.74,误报,5.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000079,FP001780,UAV00025,杭州,330100,RT_330100_010,2026-03-02 02:24:57,通信链路弱,中,30.2174769,119.9929305,57.86,无人机云系统,0.424,已闭环,19.0,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000080,FP003919,UAV01222,杭州,330100,RT_330100_020,2026-02-06 00:28:14,远程识别异常,高,30.1011758,120.2514668,18.91,射频,0.656,已闭环,8.4,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000081,FP007076,UAV01737,厦门,350200,RT_350200_023,2026-01-10 19:19:08,低电量告警,中,24.4157886,118.3077421,28.52,光电,0.803,已闭环,11.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000082,FP006540,UAV02416,郑州,410100,RT_410100_059,2026-05-21 08:42:33,远程识别异常,高,34.9455519,113.5874466,27.03,无人机云系统,0.699,已闭环,16.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000083,FP004949,UAV02594,东莞,441900,RT_441900_009,2026-02-02 14:11:45,人群密集区飞越,高,23.1216229,113.5595676,105.63,无人机云系统,0.843,待核查,5.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000084,FP007047,UAV00075,青岛,370200,RT_370200_021,2026-05-18 17:42:47,远程识别异常,高,36.2721366,120.2063459,20.99,光电,0.761,已闭环,6.6,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000085,FP000440,UAV02243,厦门,350200,RT_350200_030,2026-04-13 11:27:04,远程识别异常,高,24.4589874,118.0526859,38.34,雷达,0.861,待核查,2.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000086,FP006630,UAV01489,长沙,430100,RT_430100_044,2026-05-18 19:03:49,禁飞区接近,严重,28.2425834,112.884386,103.98,无人机云系统,0.876,已闭环,34.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000087,FP005596,UAV00713,武汉,420100,RT_420100_010,2026-04-10 02:17:14,低电量告警,中,30.438428,114.3348835,90.82,雷达,0.948,已闭环,12.1,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000088,FP000922,UAV02371,长沙,430100,RT_430100_041,2026-04-01 18:30:57,超高风险,严重,28.349582,113.1290248,75.47,光电,0.529,已闭环,3.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000089,FP000608,UAV00549,合肥,340100,RT_340100_030,2026-03-23 03:38:28,人群密集区飞越,高,31.8922992,117.3811931,36.91,光电,0.917,已闭环,31.9,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000090,FP005263,UAV02450,郑州,410100,RT_410100_029,2026-01-29 09:11:06,速度异常,中,34.7663744,113.482687,110.49,射频,0.907,待核查,7.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000091,FP000307,UAV01525,珠海,440400,RT_440400_037,2026-03-06 04:07:47,禁飞区接近,严重,22.1086347,113.6185905,97.11,无人机云系统,0.832,已闭环,35.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000092,FP006765,UAV00558,青岛,370200,RT_370200_034,2026-01-24 19:17:10,电子围栏越界,高,35.9247558,120.3090909,54.54,雷达,0.748,已闭环,11.7,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000093,FP006931,UAV00289,北京,110000,RT_110000_025,2026-01-14 13:58:41,超高风险,严重,40.0555784,116.4545219,146.56,光电,0.811,误报,3.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000094,FP002747,UAV02392,海口,460100,RT_460100_044,2026-03-11 20:26:31,人群密集区飞越,高,20.093641,110.0930916,91.04,雷达,0.583,待核查,2.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000095,FP005779,UAV02149,南京,320100,RT_320100_014,2026-03-07 11:15:26,速度异常,中,31.896395,119.0112204,34.49,雷达,0.825,已闭环,6.8,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000096,FP000885,UAV00168,武汉,420100,RT_420100_029,2026-01-25 21:40:35,超高风险,严重,30.5341251,114.3750562,152.76,融合识别,0.912,处理中,16.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000097,FP006966,UAV00566,西安,610100,RT_610100_030,2026-03-05 01:18:57,超高风险,严重,34.4468514,108.9538849,88.43,射频,0.795,待核查,0.5,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000098,FP004812,UAV00049,杭州,330100,RT_330100_022,2026-02-05 06:40:06,远程识别异常,高,30.3056962,120.0673244,69.33,雷达,0.586,处理中,10.2,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000099,FP005681,UAV01941,珠海,440400,RT_440400_026,2026-01-18 21:06:51,远程识别异常,高,22.3354383,113.6490433,9.27,雷达,0.959,已闭环,16.2,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000100,FP004830,UAV02530,合肥,340100,RT_340100_023,2026-06-22 20:14:57,电子围栏越界,高,31.9137284,117.2378577,48.04,5G-A通感,0.849,待核查,2.1,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000101,FP002207,UAV01305,苏州,320500,RT_320500_042,2026-06-14 09:35:53,远程识别异常,高,31.1494653,120.6385305,63.88,5G-A通感,0.755,已闭环,2.5,True,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000102,FP001801,UAV01008,西安,610100,RT_610100_047,2026-03-11 14:44:00,电子围栏越界,高,34.3534893,108.8477198,14.85,5G-A通感,0.896,误报,11.6,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000103,FP005417,UAV01672,武汉,420100,RT_420100_021,2026-01-23 02:47:53,通信链路弱,中,30.74429,114.147939,37.21,无人机云系统,0.879,处理中,10.8,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
AL0000104,FP000044,UAV01230,南京,320100,RT_320100_024,2026-01-09 05:14:57,疑似黑飞目标,严重,31.9405,118.583753,105.98,融合识别,0.606,待核查,13.3,False,simulated_demo_sample,告警事件为演示样本，部分依据遥测字段规则触发，非真实执法记录。
